university_name_en;university_name_ru;longitude;latitude;university_logo_filename
Viadrina European University;Европейский университет Виадрины;14.553889;52.342222;viadrina_university.png
"University of Waterloo";Университет Ватерлоо;-80.54;43.468889;university_waterloo.png
University of Miami;Университет Майами;-80.279267;25.721644;university_miami.png
University of Leicester;Университет Лейчестера;-1.124444;52.621389;university_leicester.png
Freie Universität Berlin;Свободный университет Берлина;13.290556;52.453056;freie_universitat_berlin.png
Mykolas Romeris University;Университет Миколаса Ромериса;25.258889;54.733889;mykolas_romeris_university.png
S.Toraighyrov Pavlodar State University;Павлодарский государственный университет им. С. Торайгырова;76.96839;52.26595;pavlodar_university.png
Central European University;"Центрально-Европейский университет
";19.049722;47.500556;central_european_university.png
Venice International University;Венецианский международный университет;12.357222;45.418611;venice_international_university.png
California State University, San Bernardino;Университет штата Калифорния, Сан-Бернардино;-117.324;34.1831;california_state_university_san_bernardino.png
KIMEP University;Университет КИМЭП;76.955278;43.241944;kimep_university.png
American University of Central Asia ;Американский университет в Центральной Азии;74.605363;42.87976;american_university_central_asia.png
Paris Institute of Political Studies;Парижский институт политических исследований;2.328469;48.854172;sciences_po.png
University of Leipzig;Лейпцигский университет;12.379;51.339;leipzig_university.png
Ohio State University;Университет штата Огайо;-83.0145;40.004537;ohio_state_university.png
Higher School of Economics;Высшая школа экономики;37.6335;55.7615;higher_school_of_economics.png
Moscow State Institute of International Relations ;Московский государственный институт международных отношений;37.486944;55.672222;moscow_state_institute_international_relations.png
Ural Federal University;Уральский федеральный университет;60.6539;56.844;ural_federal_university.png
Kyung Hee University;Университет Кюнг Хи;127.051889;37.59675;kyung_hee_university.png
University College London;Университетский колледж Лондона;-0.133578;51.524789;university_college_london.png
University of California, Berkeley;Калифорнийский университет, Беркли;-122.259;37.87;uc_berkeley.png
State University of New York at Albany;Государственный университет Нью-Йорка в Олбани;-73.823884;42.686193;suny_albany.png
University of Michigan;Университет Мичигана;-83.735;42.283;university_michigan.png
Hebrew University of Jerusalem;Еврейский университет в Иерусалиме;35.1990896;31.7802838;hebrew_university.png
University of Iowa;Университет Айовы;-91.533333;41.65;university_iowa.png
Nazarbayev University;Университет Назарбаева;71.399444;51.09;nazarbayev_university.png
State University of New York at Stony ;Государственный университет Нью-Йорка в Стоуни-Брук;-73.11623;40.914224;stony_brook_university.png
Liverpool Hope University;Ливерпульский университет Надежды;-2.892150879;53.39581798;liverpool_hope_university.png
Paris-Sorbonne University;Университет Париж-Сорбонна;2.342778;48.848611;paris_sorbonne_university.png
Ecole des Hautes Etudes en Sciences Sociales;Школа перспективных исследований в области общественных наук;2.326758;48.850239;school_advanced_studies_social_sciences.png
Ural Federal University;Уральский федеральный университет;60.6539;56.844;ural_federal_university.png
Saint Petersburg State University;Санкт-Петербургский государственный университет;30.299;59.942;saint_petersburg_state_university.png
University of Lausanne;Лозаннский университет;6.579444;46.5225;university_lausanne.png
University of Westminster;Вестминстерский университет;-0.142972;51.517;university_westminster.png
Oxford Brookes University;Университет Оксфорд Брукс;-1.2227;51.754267;oxford_brookes_university.png
"Dublin City University";Дублинский городской университет;-6.256542;53.384954;dublin_city_university.png
York University ;Йоркский университет;-79.503611;43.773056;york_university.png
Saint Tikhon's Orthodox University of Humanities;Православный Свято-Тихоновский гуманитарный университет;37.6129;55.77204;saint_tikhon_orthodox_university_humanities.png
University of Tampere;Университет Тампере;23.778056;61.494167;university_tampere.png
Russian State University for the Humanities;Российский государственный гуманитарный университет;37.596111;55.776667;russian_state_university_for_the_humanities.png
University of Illinois at Urbana–Champaign;Университет штата Иллинойс в Урбана-Шампейн;-88.228411;40.110539;university_illinois_at_urbana–champaign.png
Connecticut College ;Колледж Коннектикута;-72.104669;41.378433;сonnecticut_сollege.png
Whatcom Community College;Общественный Колледж Уотком;-122.493889;48.795278;whatcom_community_college.png
IES Abroad Berlin Metropolitan Studies;Программа исследований больших городов в Берлине (IES Abroad);13.3847539;52.5155098;ies_abroad_berlin_metropolitan_studies.png
Swarthmore College;Колледж Суортмор;-75.353889;39.905;swarthmore_college.png
Portland State University;Государственный университет Портленда;-122.685278;45.512778;portland_state_university.png
University of Eastern Finland - Joensuu;Университет Восточной Финляндии - Йоэнсуу;27.6783;62.8925;university_of_eastern_finland.png
Russian Presidential Academy of National Economy and Public Administration under the President of the Russian Federation;Российская академия народного хозяйства и государственной службы при Президенте РФ;37.479444;55.667222;russian_presidential_academy_of_national_economy_and_public_administration.png
Tomsk State University;Томский государственный университет;84.9475;56.4694;tomsk_state_university.png
